question;cypher;group;answer;cleaned_query;duration_query_generation;db_result;syntax_error;timeout_error;duration_query_execution;chat_generation_answer;duration_chat_answer;Human Evaluation
Is there disabled access at Schwuosk Estate?;"MATCH (var1) WHERE var1.name=""Schwuosk Estate""  WITH 1 AS foo, var1.disabled_access AS var2 RETURN var2";;False;"MATCH (s:STATION {name: ""Schwuosk Estate""})
RETURN s.name AS Station, s.disabled_access AS DisabledAccess
";2.0837833881378174;"[{""Station"": ""Schwuosk Estate"", ""DisabledAccess"": false}]";False;False;0.0178756713867187;No, there is no disabled access at Schwuosk Estate.;1.0304760932922363;Correct
What size is Schwoschham?;"MATCH (var1) WHERE var1.name=""Schwoschham""  WITH 1 AS foo, var1.size AS var2 RETURN var2";;small;"MATCH (station:STATION {name: ""Schwoschham""})
RETURN station.size AS Size
";2.1935434341430664;"[{""Size"": ""small""}]";False;False;0.0080718994140625;Schwoschham is small in size.;0.8492405414581299;Correct
How many music styles does Cyan Hypory pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Cyan Hypory""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.music AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;8;"MATCH (s1:STATION)-[e:EDGE]->(s2:STATION) WHERE e.line_name = 'Cyan Hypory' UNWIND [s1.music, s2.music] AS musicStyle
RETURN COUNT(DISTINCT musicStyle)
";4.142606973648071;"[{""COUNT(DISTINCT musicStyle)"": 8}]";False;False;0.0108709335327148;Cyan Hypory passes through eight distinct music styles.;1.0083863735198977;Correct
How big is Debington?;"MATCH (var1) WHERE var1.name=""Debington""  WITH 1 AS foo, var1.size AS var2 RETURN var2";;massive;"MATCH (s:STATION {name: ""Debington""})
RETURN s.size AS SizeOfDebington
";1.7840945720672607;"[{""SizeOfDebington"": ""massive""}]";False;False;0.015505313873291;Debington is massive in size.;0.826528787612915;Correct
Are Physaantz Road and Truick Grove on the same line?;"MATCH (var1) WHERE var1.name=""Physaantz Road""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  MATCH (var6) WHERE var6.name=""Truick Grove""  MATCH (var6)-[var7]-() WITH 1 AS foo, var5, var7.line_name AS var8  WITH 1 AS foo, var5, var8 AS var9 WITH DISTINCT var9 as var10, 1 AS foo, var5  WITH 1 AS foo, length(apoc.coll.intersection(collect(var5), collect(var10))) > 0 AS var11 RETURN var11";;False;"MATCH (s1:STATION {name: ""Physaantz Road""})-[r:EDGE]-(s2:STATION {name: ""Truick Grove""})
RETURN COUNT(DISTINCT r.line_id) > 0 AS OnSameLine
";4.302329778671265;"[{""OnSameLine"": false}]";False;False;0.0100781917572021;No, Physaantz Road and Truick Grove are not on the same line.;1.5192441940307615;Correct
What size is Gioups International?;"MATCH (var1) WHERE var1.name=""Gioups International""  WITH 1 AS foo, var1.size AS var2 RETURN var2";;massive;"MATCH (station:STATION {name: ""Gioups International""})
RETURN station.size AS Size
";1.8330538272857664;"[{""Size"": ""massive""}]";False;False;0.0075266361236572;Gioups International is massive in size.;0.8317739963531494;Correct
At Wriott Court what sort of music plays?;"MATCH (var1) WHERE var1.name=""Wriott Court""  WITH 1 AS foo, var1.music AS var2 RETURN var2";;electronic;"MATCH (s:STATION {name: ""Wriott Court""})
RETURN s.name AS Station, s.music AS MusicType
";3.1689064502716064;"[{""Station"": ""Wriott Court"", ""MusicType"": ""electronic""}]";False;False;0.0161399841308593;At Wriott Court, electronic music plays.;0.7410449981689453;Correct
How many lines is Psycheuff Palace on?;"MATCH (var1) WHERE var1.name=""Psycheuff Palace""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  RETURN length(collect(var5)) ";;1;"MATCH (:STATION {name: ""Psycheuff Palace""})-[r:EDGE]-()
RETURN COUNT(DISTINCT r.line_id) AS NumberOfLines
";2.803828477859497;"[{""NumberOfLines"": 1}]";False;False;0.0095167160034179;Psycheuff Palace is on one line.;0.8876662254333496;Correct
What is the cleanliness level of Twaizbridge station?;"MATCH (var1) WHERE var1.name=""Twaizbridge""  WITH 1 AS foo, var1.cleanliness AS var2 RETURN var2";;dirty;"MATCH (station:STATION {name: ""Twaizbridge""})
RETURN station.cleanliness AS CleanlinessLevel
";2.2416133880615234;"[{""CleanlinessLevel"": ""dirty""}]";False;False;0.0075135231018066;The cleanliness level of Twaizbridge station is currently dirty.;1.003683090209961;Correct
Are Daiof Lane and Pfeomp Road on the same line?;"MATCH (var1) WHERE var1.name=""Daiof Lane""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  MATCH (var6) WHERE var6.name=""Pfeomp Road""  MATCH (var6)-[var7]-() WITH 1 AS foo, var5, var7.line_name AS var8  WITH 1 AS foo, var5, var8 AS var9 WITH DISTINCT var9 as var10, 1 AS foo, var5  WITH 1 AS foo, length(apoc.coll.intersection(collect(var5), collect(var10))) > 0 AS var11 RETURN var11";;False;"MATCH (s1:STATION {name: ""Daiof Lane""})-[r:EDGE]-(s2:STATION {name: ""Pfeomp Road""})
RETURN COUNT(DISTINCT r.line_id) > 0 AS OnSameLine
";2.98157811164856;"[{""OnSameLine"": false}]";False;False;0.0252413749694824;No, Daiof Lane and Pfeomp Road are not on the same line.;1.9930708408355715;Correct
What music plays at Greiff St?;"MATCH (var1) WHERE var1.name=""Greiff St""  WITH 1 AS foo, var1.music AS var2 RETURN var2";;electronic;"MATCH (station:STATION {name: ""Greiff St""})
RETURN station.music AS Music
";1.9753897190093996;"[{""Music"": ""electronic""}]";False;False;0.0143003463745117;Electronic music plays at Greiff St.;0.9894156455993652;Correct
How many stations are between Schiirn Hospital and Klaps Crossing?;"MATCH (var1) MATCH (var2) MATCH tmp1 = shortestPath((var1)-[*]-(var2))  WHERE var1.name=""Schiirn Hospital"" AND var2.name=""Klaps Crossing""  WITH 1 AS foo, tmp1 AS var3 UNWIND nodes(var3) AS var4  RETURN length(collect(var4))  - 2";MultiStep;11;"MATCH path = shortestPath((start:STATION {name: 'Schiirn Hospital'})-[:EDGE*..50]-(end:STATION {name: 'Klaps Crossing'}))
RETURN LENGTH(path) - 1 AS stationsBetween
";3.659247636795044;"[{""stationsBetween"": 11}]";False;False;0.005000352859497;There are 11 stations between Schiirn Hospital and Klaps Crossing.;2.97220230102539;Correct
At Spaiarf Manor what sort of music plays?;"MATCH (var1) WHERE var1.name=""Spaiarf Manor""  WITH 1 AS foo, var1.music AS var2 RETURN var2";;classical;"MATCH (s:STATION {name: ""Spaiarf Manor""})
RETURN s.name AS Station, s.music AS MusicType
";2.693689346313477;"[{""Station"": ""Spaiarf Manor"", ""MusicType"": ""classical""}]";False;False;0.0105173587799072;At Spaiarf Manor, classical music plays.;0.9298865795135498;Correct
How many lines is Spriaords Palace on?;"MATCH (var1) WHERE var1.name=""Spriaords Palace""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  RETURN length(collect(var5)) ";;3;"MATCH (:STATION {name: ""Spriaords Palace""})-[r:EDGE]-()
RETURN COUNT(DISTINCT r.line_id) AS NumberOfLines
";2.2091269493103027;"[{""NumberOfLines"": 3}]";False;False;0.0093841552734375;Spriaords Palace is on three lines.;0.6696245670318604;Correct
Can you get rail connections at Thorr On Trent?;"MATCH (var1) WHERE var1.name=""Thorr On Trent""  WITH 1 AS foo, var1.has_rail AS var2 RETURN var2";;True;"MATCH (s1:STATION {name: ""Thorr On Trent""})-[:EDGE]->(s2:STATION)
RETURN s1.name AS Station, s2.name AS ConnectedStation, s1.has_rail AS HasRail
";2.897425889968872;"[{""Station"": ""Thorr On Trent"", ""ConnectedStation"": ""Mcfoepp Lane"", ""HasRail"": true}]";False;False;0.0105116367340087;Yes, you can get rail connections at Thorr On Trent. It has a rail connection to Mcfoepp Lane.;1.8417646884918213;Correct
How many sizes of station does Orange Dwomp pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Orange Dwomp""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.size AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;5;"MATCH (s1:STATION)-[e:EDGE]->(s2:STATION) WHERE e.line_name = 'Orange Dwomp' UNWIND [s1.size, s2.size] AS stationSize
RETURN COUNT(DISTINCT stationSize)
";4.100879907608032;"[{""COUNT(DISTINCT stationSize)"": 5}]";False;False;0.02655029296875;Orange Dwomp passes through five different sizes of stations.;1.0637564659118652;Correct
How many stations are between Cliass Lane and Skuessbridge?;"MATCH (var1) MATCH (var2) MATCH tmp1 = shortestPath((var1)-[*]-(var2))  WHERE var1.name=""Cliass Lane"" AND var2.name=""Skuessbridge""  WITH 1 AS foo, tmp1 AS var3 UNWIND nodes(var3) AS var4  RETURN length(collect(var4))  - 2";MultiStep;3;"MATCH path = shortestPath((start:STATION {name: 'Cliass Lane'})-[:EDGE*..50]-(end:STATION {name: 'Skuessbridge'}))
RETURN LENGTH(path) - 1 AS stationsBetween
";7.706688165664673;"[{""stationsBetween"": 3}]";False;False;0.0107545852661132;There are three stations between Cliass Lane and Skuessbridge.;1.3178091049194336;Correct
Which stations does Olive Tuamp pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Olive Tuamp""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4 AS var5 WITH DISTINCT var5 as var6, 1 AS foo  WITH 1 AS foo, var6.name AS var7  RETURN var7";;['Sceiys Road', 'Trar Crossing', 'Mcnaibston', 'Chrift Court', 'Krep Bridge', 'Shroiack Way', 'Mcmeauctton', 'Twaizbridge', 'Hypaaft Court', 'Sift Boulevard', 'Maiaz Court', 'Praagy Crossing', 'Juibsbridge', 'Skieurmwich', 'Gluengington', 'Mccay Boulevard', 'Mclaipt Crossing', 'Wuierrham', 'Hroests Grove', 'Typauelly Way'];"MATCH (:LINE {name: ""Olive Tuamp""})<-[e:EDGE]-(:STATION)-[e2:EDGE]->(s:STATION)
RETURN DISTINCT s.name AS Station
";2.9962496757507324;[];False;False;0.0255234241485595;I don't know the answer.;0.591602087020874;Incorrect
Are Mcmooth Lane and Schmoorstington on the same line?;"MATCH (var1) WHERE var1.name=""Mcmooth Lane""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  MATCH (var6) WHERE var6.name=""Schmoorstington""  MATCH (var6)-[var7]-() WITH 1 AS foo, var5, var7.line_name AS var8  WITH 1 AS foo, var5, var8 AS var9 WITH DISTINCT var9 as var10, 1 AS foo, var5  WITH 1 AS foo, length(apoc.coll.intersection(collect(var5), collect(var10))) > 0 AS var11 RETURN var11";;False;"MATCH (s1:STATION {name: ""Mcmooth Lane""})-[r:EDGE]-(s2:STATION {name: ""Schmoorstington""})
RETURN COUNT(DISTINCT r.line_id) > 0 AS OnSameLine
";3.8066115379333496;"[{""OnSameLine"": false}]";False;False;0.0122075080871582;No, Mcmooth Lane and Schmoorstington are not on the same line.;1.913311243057251;Correct
What music plays at Tsoex Boulevard?;"MATCH (var1) WHERE var1.name=""Tsoex Boulevard""  WITH 1 AS foo, var1.music AS var2 RETURN var2";;classical;"MATCH (station:STATION {name: ""Tsoex Boulevard""})
RETURN station.music AS Music
";1.8918488025665283;"[{""Music"": ""classical""}]";False;False;0.0152361392974853;Classical music plays at Tsoex Boulevard.;1.2657041549682615;Correct
Is there disabled access at Gnuels Square?;"MATCH (var1) WHERE var1.name=""Gnuels Square""  WITH 1 AS foo, var1.disabled_access AS var2 RETURN var2";;False;"MATCH (station:STATION {name: ""Gnuels Square""})
RETURN station.name AS Station, station.disabled_access AS DisabledAccess
";2.23078727722168;"[{""Station"": ""Gnuels Square"", ""DisabledAccess"": false}]";False;False;0.0077483654022216;No, there is no disabled access at Gnuels Square.;0.8242855072021484;Correct
What is the cleanliness level of Psycheact Hospital station?;"MATCH (var1) WHERE var1.name=""Psycheact Hospital""  WITH 1 AS foo, var1.cleanliness AS var2 RETURN var2";;shabby;"MATCH (station:STATION {name: ""Psycheact Hospital""})
RETURN station.cleanliness AS CleanlinessLevel
";1.470452070236206;"[{""CleanlinessLevel"": ""shabby""}]";False;False;0.0095133781433105;The cleanliness level of Psycheact Hospital station is considered shabby.;1.5199074745178225;Correct
How many stations are between Flegy Boulevard and Skieurmwich?;"MATCH (var1) MATCH (var2) MATCH tmp1 = shortestPath((var1)-[*]-(var2))  WHERE var1.name=""Flegy Boulevard"" AND var2.name=""Skieurmwich""  WITH 1 AS foo, tmp1 AS var3 UNWIND nodes(var3) AS var4  RETURN length(collect(var4))  - 2";MultiStep;11;"MATCH path = shortestPath((start:STATION {name: 'Flegy Boulevard'})-[:EDGE*..50]-(end:STATION {name: 'Skieurmwich'}))
RETURN LENGTH(path) - 1 AS stationsBetween
";3.3446407318115234;"[{""stationsBetween"": 11}]";False;False;0.0093750953674316;There are 11 stations between Flegy Boulevard and Skieurmwich.;1.687788963317871;Correct
How many music styles does Purple Psycharts pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Purple Psycharts""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.music AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;7;"MATCH (s1:STATION)-[e:EDGE]->(s2:STATION) WHERE e.line_name = 'Purple Psycharts' UNWIND [s1.music, s2.music] AS musicStyle
RETURN COUNT(DISTINCT musicStyle)
";4.666486501693726;"[{""COUNT(DISTINCT musicStyle)"": 7}]";False;False;0.0115153789520263;Purple Psycharts pass through seven distinct music styles.;0.7034850120544434;Correct
How many music styles does Purple Xiour pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Purple Xiour""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.music AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;6;"MATCH (s1:STATION)-[e:EDGE]->(s2:STATION) WHERE e.line_name = 'Purple Xiour' UNWIND [s1.music, s2.music] AS musicStyle
RETURN COUNT(DISTINCT musicStyle)
";3.537977457046509;"[{""COUNT(DISTINCT musicStyle)"": 6}]";False;False;0.0105061531066894;Purple Xiour passes through six distinct music styles.;2.1075007915496826;Correct
Does Hypeacts Manor have rail connections?;"MATCH (var1) WHERE var1.name=""Hypeacts Manor""  WITH 1 AS foo, var1.has_rail AS var2 RETURN var2";;False;"MATCH (s1:STATION {name: ""Hypeacts Manor""})-[:EDGE]->(s2:STATION)
RETURN s1.name AS Station, s2.name AS ConnectedStation, s1.has_rail AS HasRail
";4.457879304885864;"[{""Station"": ""Hypeacts Manor"", ""ConnectedStation"": ""Twoud Boulevard"", ""HasRail"": false}]";False;False;0.0095212459564208;No, Hypeacts Manor does not have rail connections.;4.257450103759766;Correct
