Question 1;Answer Question 1;Question 2;Answer Question 2;Question 3;Answer Question 3;Question 4;Used History Expected;Used History Chatbot Decision;Duration
Does Khords Court have rail connections?;Khords Court has rail connections available.;How big is Psychiaongs Court?;Psychiaongs Court is a large-sized area.;How many music styles does Green Criengs pass through?;Green Criengs features four different music styles.;Does Khords Court have rail connections and How big is Psychiaongs Court and How many music styles does Green Criengs pass through?;True;True;1.7277956008911133
How many lines is Fiallsneyland on?;Fiallsneyland is served by two lines.;Which lines is Cziengly Road on?;Cziengly Road is served by three lines.;Describe Twuft Square station's architectural style.;Twuft Square features Modernist architecture.;How many lines is Fiallsneyland on and Which lines is Cziengly Road on and Describe Twuft Square station's architectural style?;True;True;1.844942331314087
Describe Szuoch Bridge station's architectural style.;Szuoch Bridge station exhibits an Art Deco architectural style.;How many architectural styles does Pink Whiel pass through?;Pink Whiel passes through six different architectural styles.;Which stations does Orange Dweots pass through?;Orange Dweots passes through eight stations.;Describe Szuoch Bridge station's architectural style and How many architectural styles does Pink Whiel pass through and Which stations does Orange Dweots pass through?;True;True;1.7395505905151367
What music plays at Dwuiews Bridge?;Classical music plays at Dwuiews Bridge.;Does Bliurty Bridge have rail connections?;Bliurty Bridge has rail connections available.;How many architectural styles does Purple Xeiav pass through?;Purple Xeiav passes through five different architectural styles.;What music plays at Dwuiews Bridge and Does Bliurty Bridge have rail connections and How many architectural styles does Purple Xeiav pass through?;True;True;1.638479709625244
Which stations does Red Hrouly pass through?;Red Hrouly passes through seven different stations.;Is there disabled access at Kreolly St?;Kreolly St provides disabled access.;How many stations are between Rhisk Crossing and Schwoiarth St?;There are seven stations between Rhisk Crossing and Schwoiarth St.;Which stations does Red Hrouly pass through and Is there disabled access at Kreolly St and How many stations are between Rhisk Crossing and Schwoiarth St?;True;False;1.3624682426452637
Describe Skiesly Palace station's architectural style.;Skiesly Palace station features a futuristic design.;Which stations does Red Hrouly pass through?;Red Hrouly passes through seven stations.;Which stations does Olive Tuamp pass through?;Olive Tuamp passes through five stations.;Describe Skiesly Palace station's architectural style and Which stations does Red Hrouly pass through and Which stations does Olive Tuamp pass through?;True;False;2.375311374664306
How many stations are between Rheirst Lane and Mcfial St?;There are six stations between Rheirst Lane and Mcfial St.;At Dyniaopt On Trent what sort of music plays?;Jazz music plays at Dyniaopt On Trent.;Does Maiaz Court have rail connections?;Maiaz Court has rail connections available.;How many stations are between Rheirst Lane and Mcfial St and At Dyniaopt On Trent what sort of music plays and Does Maiaz Court have rail connections?;True;True;2.018584728240967
Is there disabled access at Hyuolt Manor?;Hyuolt Manor provides disabled access.;How many sizes of station does Orange Dwomp pass through?;Orange Dwomp passes through stations of three different sizes.;How many sizes of station does Orange Dweots pass through?;Orange Dweots passes through stations of six different sizes.;Is there disabled access at Hyuolt Manor and How many sizes of station does Orange Dwomp pass through and How many sizes of station does Orange Dweots pass through?;True;True;3.184174060821533
What is the cleanliness level of Twaizbridge station?;Twaizbridge station is highly clean.;How big is Fraiopt Court?;Fraiopt Court is a medium-sized area.;How clean is Skiesly Palace?;Skiesly Palace is moderately clean.;What is the cleanliness level of Twaizbridge station and How big is Fraiopt Court and How clean is Skiesly Palace?;True;True;1.4443182945251465
Are Montlyham and Schmiarfington on the same line?;Montlyham and Schmiarfington are on different lines.;How many music styles does Orange Screic pass through?;Orange Screic features four different music styles.;How big is Hypaaft Court?;Hypaaft Court is a large-sized area.;Are Montlyham and Schmiarfington on the same line and How many music styles does Orange Screic pass through and How big is Hypaaft Court?;True;True;1.8683598041534424
Are Klaucs On Trent and Glauehl Way on the same line?;Klaucs On Trent and Glauehl Way are on the same line.;Which lines is Whoubbridge on?;Whoubbridge is on two lines.;Does Chrift Court have rail connections?;Chrift Court has rail connections available.;Are Klaucs On Trent and Glauehl Way on the same line and Which lines is Whoubbridge on and Does Chrift Court have rail connections?;True;True;8.280253171920776
Does Siish Boulevard have disabled access?;Siish Boulevard offers disabled access.;Does Skiesly Palace have rail connections?;Skiesly Palace has rail connections available.;Which stations does Olive Tuamp pass through?;Olive Tuamp passes through six stations.;Does Siish Boulevard have disabled access and Does Skiesly Palace have rail connections and Which stations does Olive Tuamp pass through?;True;False;5.262061595916748
Is there disabled access at Cliick On Trent?;Cliick On Trent provides disabled access.;At Mcguierds Crossing what sort of music plays?;Pop music plays at Mcguierds Crossing.;Does Schwarryington have disabled access?;Schwarryington offers disabled access.;Is there disabled access at Cliick On Trent and At Mcguierds Crossing what sort of music plays and Does Schwarryington have disabled access?;True;True;1.8306124210357664
What size is Sift Boulevard?;Sift Boulevard is a medium-sized station.;Is there disabled access at Gnoects Upon Thames?;Gnoects Upon Thames offers disabled access.;How many sizes of station does Orange Dweots pass through?;Orange Dweots passes through stations of five different sizes.;What size is Sift Boulevard and Is there disabled access at Gnoects Upon Thames and How many sizes of station does Orange Dweots pass through?;True;True;1.490912914276123
Does Trauesp Palace have rail connections?;Trauesp Palace does not have rail connections.;Does Rhuol Palace have disabled access?;Rhuol Palace provides disabled access.;How many sizes of station does Orange Dwomp pass through?;Orange Dwomp passes through stations of four different sizes.;Does Trauesp Palace have rail connections and Does Rhuol Palace have disabled access and How many sizes of station does Orange Dwomp pass through?;True;True;2.456762790679932
How clean is Rheirst Lane?;Rheirst Lane is very clean.;Which lines is Skiesly Palace on?;Skiesly Palace is on three lines.;Which stations does Purple Psycharts pass through?;Purple Psycharts passes through eight stations.;How clean is Rheirst Lane and Which lines is Skiesly Palace on and Which stations does Purple Psycharts pass through?;True;True;1.5816476345062256
What size is Kliags Bridge?;Kliags Bridge is a large station.;Does Mcoeg Crossing have disabled access?;Mcoeg Crossing offers disabled access.;What size is Xaath Way?;Xaath Way is a medium-sized area.;What size is Kliags Bridge and Does Mcoeg Crossing have disabled access and What size is Xaath Way?;True;True;1.800107479095459
Can you get rail connections at Cuinnton?;Cuinnton has rail connections available.;Describe Schlaiosm Hospital station's architectural style.;Schlaiosm Hospital is designed in an Art Deco style.;Describe Criish Crossing station's architectural style.;Criish Crossing features Renaissance architecture.;Can you get rail connections at Cuinnton and Describe Schlaiosm Hospital station's architectural style and Describe Criish Crossing station's architectural style?;True;True;2.018512010574341
Describe Jeod On Trent station's architectural style.;Jeod On Trent station is designed in a Renaissance style.;Are Mcguell On Trent and Dwuislyneyland on the same line?;Mcguell On Trent and Dwuislyneyland are on different lines.;Which lines is Zaugneyland on?;Zaugneyland is on one line.;Describe Jeod On Trent station's architectural style and Are Mcguell On Trent and Dwuislyneyland on the same line and Which lines is Zaugneyland on?;True;True;2.013493061065674
Can you get rail connections at Debington?;Debington has rail connections available.;How many architectural styles does Red Hrouly pass through?;Red Hrouly passes through four different architectural styles.;Does Schwarryington have rail connections?;Schwarryington has rail connections available.;Can you get rail connections at Debington and How many architectural styles does Red Hrouly pass through and Does Schwarryington have rail connections?;True;True;3.5618579387664795
What architectural style is Kleompton?;Kleompton features Baroque architecture.;Does Naiars St have rail connections?;Naiars St has rail connections available.;Are Symbeiash Hospital and Mcfial St on the same line?;Symbeiash Hospital and Mcfial St are on different lines.;What architectural style is Kleompton and Does Naiars St have rail connections and Are Symbeiash Hospital and Mcfial St on the same line?;True;True;1.2174229621887207
Is there disabled access at Xaath Way?;Xaath Way provides disabled access.;How many music styles does Cyan Troll pass through?;Cyan Troll features three different music styles.;What is the cleanliness level of Psychiaongs Court station?;Psychiaongs Court station is clean.;Is there disabled access at Xaath Way and How many music styles does Cyan Troll pass through and What is the cleanliness level of Psychiaongs Court station?;True;True;1.4734563827514648
Is there disabled access at Mcgeegsington?;Mcgeegsington offers disabled access.;At Spaiarf Manor what sort of music plays?;Ambient music plays at Spaiarf Manor.;Does Mcfoepp Lane have disabled access?;Mcfoepp Lane offers disabled access.;Is there disabled access at Mcgeegsington and At Spaiarf Manor what sort of music plays and Does Mcfoepp Lane have disabled access?;True;True;1.6675007343292236
What music plays at Schruaks Grove?;Jazz music plays at Schruaks Grove.;Are Mcgeegsington and Truick Grove on the same line?;Mcgeegsington and Truick Grove are on the same line.;Describe Spieuhl St station's architectural style.;Spieuhl St station features Renaissance architecture.;What music plays at Schruaks Grove and Are Mcgeegsington and Truick Grove on the same line and Describe Spieuhl St station's architectural style?;True;True;1.5880155563354492
Does Looks Square have disabled access?;Looks Square provides disabled access.;How many stations are between Ghiigh Way and Chrietch Bridge?;There are five stations between Ghiigh Way and Chrietch Bridge.;At Mcclass Court what sort of music plays?;Pop music plays at Mcclass Court.;Does Looks Square have disabled access and How many stations are between Ghiigh Way and Chrietch Bridge and At Mcclass Court what sort of music plays?;True;True;1.5440516471862793
How many stations are between Mcgeegsington and Dynieucks St?;There are five stations between Mcgeegsington and Dynieucks St.;How clean is Czeisch Way?;Czeisch Way is exceptionally clean.;What size is Hypask Square?;Hypask Square is a small-sized area.;How many stations are between Mcgeegsington and Dynieucks St and How clean is Czeisch Way and What size is Hypask Square?;True;True;1.1825542449951172
Describe Slairt Estate station's architectural style.;Slairt Estate station is designed in a contemporary style.;Describe Mcguierds Crossing station's architectural style.;Mcguierds Crossing features Victorian Gothic architecture.;How many sizes of station does Cyan Troll pass through?;Cyan Troll passes through stations of four different sizes.;Describe Slairt Estate station's architectural style and Describe Mcguierds Crossing station's architectural style and How many sizes of station does Cyan Troll pass through?;True;True;1.6601314544677734
How many sizes of station does Purple Psycharts pass through?;Purple Psycharts passes through stations of four different sizes.;How clean is Klicswich?;Klicswich is fairly clean.;What size is Snieub Estate?;Snieub Estate is a large-sized area.;How many sizes of station does Purple Psycharts pass through and How clean is Klicswich and What size is Snieub Estate?;True;True;1.831990957260132
What size is Glauehl Way?;Glauehl Way is a small-sized station.;What is the cleanliness level of Floudy Manor station?;Floudy Manor station is highly clean.;Does Fruirtyneyland have disabled access?;Fruirtyneyland provides disabled access.;What size is Glauehl Way and What is the cleanliness level of Floudy Manor station and Does Fruirtyneyland have disabled access?;True;True;2.248051643371582
How many sizes of station does Pink Dreark pass through?;Pink Dreark passes through stations of three different sizes.;How many lines is Pruest Bridge on?;Pruest Bridge is on one line.;Does Trar Crossing have disabled access?;Trar Crossing offers disabled access.;How many sizes of station does Pink Dreark pass through and How many lines is Pruest Bridge on and Does Trar Crossing have disabled access?;True;True;1.472364902496338
Which lines is Jeiabs Hospital on?;Jeiabs Hospital is on two lines.;Which stations does Purple Hydraf pass through?;Purple Hydraf passes through six stations.;Is there disabled access at Knaapt Manor?;Knaapt Manor provides disabled access.;Which lines is Jeiabs Hospital on and Which stations does Purple Hydraf pass through and Is there disabled access at Knaapt Manor?;True;False;1.4474289417266846
What is the cleanliness level of Diocs Estate station?;Diocs Estate station is very clean.;What music plays at Draamp Lane?;Electronic music plays at Draamp Lane.;What size is Schwuosk Estate?;Schwuosk Estate is a medium-sized area.;What is the cleanliness level of Diocs Estate station and What music plays at Draamp Lane and What size is Schwuosk Estate?;True;True;2.4141671657562256
Are Chrietch Bridge and Spieuhl St on the same line?;Chrietch Bridge and Spieuhl St are on the same line.;How many stations are between Praiacy Crossing and Xoep Bridge?;There are four stations between Praiacy Crossing and Xoep Bridge.;Which lines is Jeod On Trent on?;Jeod On Trent is on four lines.;Are Chrietch Bridge and Spieuhl St on the same line and How many stations are between Praiacy Crossing and Xoep Bridge and Which lines is Jeod On Trent on?;True;True;1.5883159637451172
Which stations does Blue Twauect pass through?;Blue Twauect passes through eight stations.;Are Klaucs On Trent and Klioc Palace on the same line?;Klaucs On Trent and Klioc Palace are on the same line.;What is the cleanliness level of Schooz Upon Thames station?;Schooz Upon Thames station is very clean.;Which stations does Blue Twauect pass through and Are Klaucs On Trent and Klioc Palace on the same line and What is the cleanliness level of Schooz Upon Thames station?;True;False;1.6633319854736328
How many stations are between Klioc Palace and Krep Bridge?;There are three stations between Klioc Palace and Krep Bridge.;Which lines is Dyniaopt On Trent on?;Dyniaopt On Trent is on two lines.;Can you get rail connections at Pfaantlywich?;Pfaantlywich has rail connections available.;How many stations are between Klioc Palace and Krep Bridge and Which lines is Dyniaopt On Trent on and Can you get rail connections at Pfaantlywich?;True;True;1.286466360092163
What architectural style is Spieuhl St?;Spieuhl St is designed in a Neo-Gothic style.;How many stations are between Chrietch Bridge and Mcfial St?;There are three stations between Chrietch Bridge and Mcfial St.;Is there disabled access at Draamp Lane?;Draamp Lane offers disabled access.;What architectural style is Spieuhl St and How many stations are between Chrietch Bridge and Mcfial St and Is there disabled access at Draamp Lane?;True;True;1.5973987579345703
How clean is Soillsham?;Soillsham is fairly clean.;Describe Mckiewn Grove station's architectural style.;Mckiewn Grove is designed in a contemporary minimalist style.;How many architectural styles does Purple Xiour pass through?;Purple Xiour passes through three different architectural styles.;How clean is Soillsham and Describe Mckiewn Grove station's architectural style and How many architectural styles does Purple Xiour pass through?;True;True;1.6000478267669678
How big is Soillsham?;Soillsham is a medium-sized area.;How many sizes of station does Olive Hydrieubs pass through?;Olive Hydrieubs passes through stations of four different sizes.;Which lines is Hypiap Grove on?;Hypiap Grove is on two lines.;How big is Soillsham and How many sizes of station does Olive Hydrieubs pass through and Which lines is Hypiap Grove on?;True;True;2.034717559814453
How many stations are between Schruaks Grove and Schmeelly Court?;There are seven stations between Schruaks Grove and Schmeelly Court.;How many architectural styles does Green Mcgoimp pass through?;Green Mcgoimp passes through five different architectural styles.;What is the cleanliness level of Spriaords Palace station?;Spriaords Palace station is exceptionally clean.;How many stations are between Schruaks Grove and Schmeelly Court and How many architectural styles does Green Mcgoimp pass through and What is the cleanliness level of Spriaords Palace station?;True;True;1.8942124843597408
How many lines is Schlaiosm Hospital on?;Schlaiosm Hospital is on four lines.;What size is Psycheact Hospital?;Psycheact Hospital is a small-sized area.;How many stations are between Jeask Palace and Psycheact Hospital?;There are five stations between Jeask Palace and Psycheact Hospital.;How many lines is Schlaiosm Hospital on and What size is Psycheact Hospital and How many stations are between Jeask Palace and Psycheact Hospital?;True;True;1.0643625259399414
What is the cleanliness level of Chraets Square station?;Chraets Square station is exceptionally clean.;Does Noltington have disabled access?;Noltington offers disabled access.;Is there disabled access at Physeiasts Road?;Physeiasts Road provides disabled access.;What is the cleanliness level of Chraets Square station and Does Noltington have disabled access and Is there disabled access at Physeiasts Road?;True;True;1.846663236618042
How many architectural styles does Purple Xiour pass through?;Purple Xiour passes through five different architectural styles.;Which stations does Red Briudly pass through?;Red Briudly passes through eight stations.;How many music styles does Orange Dweots pass through?;Orange Dweots features three different music styles.;How many architectural styles does Purple Xiour pass through and Which stations does Red Briudly pass through and How many music styles does Orange Dweots pass through?;True;True;2.103687286376953
Are Pfaorts Court and Klaucs On Trent on the same line?;Pfaorts Court and Klaucs On Trent are on different lines.;Does Wriott Court have rail connections?;Wriott Court has rail connections available.;At Thruolly Lane what sort of music plays?;Ambient music plays at Thruolly Lane.;Are Pfaorts Court and Klaucs On Trent on the same line and Does Wriott Court have rail connections and At Thruolly Lane what sort of music plays?;True;True;2.1178138256073
Does Xaath Way have rail connections?;Xaath Way has rail connections available.;Are Wheict Upon Thames and Dyniirn Way on the same line?;Wheict Upon Thames and Dyniirn Way are on different lines.;What is the cleanliness level of Praiacy Crossing station?;Praiacy Crossing station is very clean.;Does Xaath Way have rail connections and Are Wheict Upon Thames and Dyniirn Way on the same line and What is the cleanliness level of Praiacy Crossing station?;True;True;1.1022231578826904
Are Fruirtyneyland and Theunn Crossing on the same line?;Fruirtyneyland and Theunn Crossing are on the same line.;Is there disabled access at Skaoz Square?;Skaoz Square provides disabled access.;How many music styles does Purple Waec pass through?;Purple Waec passes through four different music styles.;Are Fruirtyneyland and Theunn Crossing on the same line and Is there disabled access at Skaoz Square and How many music styles does Purple Waec pass through?;True;True;1.656415939331055
What is the cleanliness level of Sqearn Bridge station?;Sqearn Bridge station is moderately clean.;How many music styles does Purple Waec pass through?;Purple Waec features two different music styles.;Does Schwoschham have disabled access?;Schwoschham offers disabled access.;What is the cleanliness level of Sqearn Bridge station and How many music styles does Purple Waec pass through and Does Schwoschham have disabled access?;True;True;2.1386914253234863
How big is Wreastton?;Wreastton is a large town.;At Sqiirry Estate what sort of music plays?;Rock music plays at Sqiirry Estate.;Can you get rail connections at Mcclaify Court?;Mcclaify Court has rail connections available.;How big is Wreastton and At Sqiirry Estate what sort of music plays and Can you get rail connections at Mcclaify Court?;True;True;1.764408826828003
Is there disabled access at Whiaop Street?;Whiaop Street offers disabled access.;What size is Wheict Upon Thames?;Wheict Upon Thames is a large-sized area.;Describe Xaung Boulevard station's architectural style.;Xaung Boulevard features Neo-Gothic architecture.;Is there disabled access at Whiaop Street and What size is Wheict Upon Thames and Describe Xaung Boulevard station's architectural style?;True;True;1.6969783306121826
How many music styles does Blue Twauect pass through?;Blue Twauect features two different music styles.;Can you get rail connections at Maodston?;Maodston has rail connections available.;What is the cleanliness level of Wraiocts Grove station?;Wraiocts Grove station is highly clean.;How many music styles does Blue Twauect pass through and Can you get rail connections at Maodston and What is the cleanliness level of Wraiocts Grove station?;True;True;1.0801565647125244
How many sizes of station does Green Criengs pass through?;Green Criengs passes through stations of five different sizes.;Which stations does Orange Dweots pass through?;Orange Dweots passes through nine stations.;What is the cleanliness level of Chraets Square station?;Chraets Square station is exceptionally clean.;How many sizes of station does Green Criengs pass through and Which stations does Orange Dweots pass through and What is the cleanliness level of Chraets Square station?;True;False;2.7690305709838867
How many architectural styles does Cyan Hypory pass through?;Cyan Hypory passes through four different architectural styles.;Can you get rail connections at Dyneih Road?;Dyneih Road has rail connections available.;How many stations are between Khords Court and Spieuhl St?;There are six stations between Khords Court and Spieuhl St.;How many architectural styles does Cyan Hypory pass through and Can you get rail connections at Dyneih Road and How many stations are between Khords Court and Spieuhl St?;True;True;2.1140592098236084
What size is Trauesp Palace?;Trauesp Palace is a large-sized station.;How big is Schwarryington?;Schwarryington is a large-sized area.;Which stations does Purple Xiour pass through?;Purple Xiour passes through seven stations.;What size is Trauesp Palace and How big is Schwarryington and Which stations does Purple Xiour pass through?;True;True;1.8226706981658936
Describe Jauedy Hospital station's architectural style.;Jauedy Hospital station features Brutalist architecture.;How clean is Poath Upon Thames?;Poath Upon Thames is very clean.;How many sizes of station does Purple Psycharts pass through?;Purple Psycharts passes through stations of three different sizes.;Describe Jauedy Hospital station's architectural style and How clean is Poath Upon Thames and How many sizes of station does Purple Psycharts pass through?;True;True;1.9139533042907717
Are Typairn Estate and Kroakswich on the same line?;Typairn Estate and Kroakswich are on the same line.;What music plays at Hroeps Way?;Jazz music plays at Hroeps Way.;How many lines is Ping Palace on?;Ping Palace is on two lines.;Are Typairn Estate and Kroakswich on the same line and What music plays at Hroeps Way and How many lines is Ping Palace on?;True;True;1.620537281036377
How many stations are between Pfeirty International and Schlaiosm Hospital?;There are eight stations between Pfeirty International and Schlaiosm Hospital.;How many architectural styles does Pink Whiel pass through?;Pink Whiel passes through three different architectural styles.;Which stations does Purple Xiour pass through?;Purple Xiour passes through seven stations.;How many stations are between Pfeirty International and Schlaiosm Hospital and How many architectural styles does Pink Whiel pass through and Which stations does Purple Xiour pass through?;True;True;1.6445226669311523
How many architectural styles does Green Mcgoimp pass through?;Green Mcgoimp passes through six different architectural styles.;How many lines is Ping Palace on?;Ping Palace is on two lines.;What music plays at Hroeps Way?;Jazz music plays at Hroeps Way.;How many architectural styles does Green Mcgoimp pass through and How many lines is Ping Palace on and What music plays at Hroeps Way?;True;True;2.008486270904541
How many lines is Wrotz Upon Thames on?;Wrotz Upon Thames is on three lines.;How many sizes of station does Purple Psycharts pass through?;Purple Psycharts passes through stations of three different sizes.;How clean is Poath Upon Thames?;Poath Upon Thames is very clean.;How many lines is Wrotz Upon Thames on and How many sizes of station does Purple Psycharts pass through and How clean is Poath Upon Thames?;True;True;1.5821969509124756
Which stations does Pink Dreark pass through?;Pink Dreark passes through nine stations.;Which stations does Purple Xiour pass through?;Purple Xiour passes through seven stations.;How big is Schwarryington?;Schwarryington is a large-sized area.;Which stations does Pink Dreark pass through and Which stations does Purple Xiour pass through and How big is Schwarryington?;True;False;2.445074796676636
Is there disabled access at Froam Lane?;Froam Lane provides disabled access.;How many stations are between Khords Court and Spieuhl St?;There are six stations between Khords Court and Spieuhl St.;Can you get rail connections at Dyneih Road?;Dyneih Road has rail connections available.;Is there disabled access at Froam Lane and How many stations are between Khords Court and Spieuhl St and Can you get rail connections at Dyneih Road?;True;True;8.790010213851929
How clean is Wrotz Upon Thames?;Wrotz Upon Thames is clean.;What is the cleanliness level of Chraets Square station?;Chraets Square station is exceptionally clean.;Which stations does Orange Dweots pass through?;Orange Dweots passes through nine stations.;How clean is Wrotz Upon Thames and What is the cleanliness level of Chraets Square station and Which stations does Orange Dweots pass through?;True;False;3.0399227142333984
How clean is Gloiatsneyland?;Gloiatsneyland is very clean.;What is the cleanliness level of Wraiocts Grove station?;Wraiocts Grove station is highly clean.;Can you get rail connections at Maodston?;Maodston has rail connections available.;How clean is Gloiatsneyland and What is the cleanliness level of Wraiocts Grove station and Can you get rail connections at Maodston?;True;True;1.6243469715118408
How many lines is Cuinnton on?;Cuinnton is on two lines.;Describe Xaung Boulevard station's architectural style.;Xaung Boulevard features Neo-Gothic architecture.;What size is Wheict Upon Thames?;Wheict Upon Thames is a large-sized area.;How many lines is Cuinnton on and Describe Xaung Boulevard station's architectural style and What size is Wheict Upon Thames?;True;True;1.1976547241210938
Can you get rail connections at Hypiap Grove?;Hypiap Grove has rail connections available.;Can you get rail connections at Mcclaify Court?;Mcclaify Court has rail connections available.;At Sqiirry Estate what sort of music plays?;Rock music plays at Sqiirry Estate.;Can you get rail connections at Hypiap Grove and Can you get rail connections at Mcclaify Court and At Sqiirry Estate what sort of music plays?;True;True;1.3155133724212646
What is the cleanliness level of Mcciays Court station?;Mcciays Court station is highly clean.;Does Schwoschham have disabled access?;Schwoschham offers disabled access.;How many music styles does Purple Waec pass through?;Purple Waec features two different music styles.;What is the cleanliness level of Mcciays Court station and Does Schwoschham have disabled access and How many music styles does Purple Waec pass through?;True;True;1.401733160018921
Does Mccaork Estate have disabled access?;Mccaork Estate offers disabled access.;How many music styles does Purple Waec pass through?;Purple Waec passes through four different music styles.;Is there disabled access at Skaoz Square?;Skaoz Square provides disabled access.;Does Mccaork Estate have disabled access and How many music styles does Purple Waec pass through and Is there disabled access at Skaoz Square?;True;True;1.4538414478302002
What is the cleanliness level of Praiacy Crossing station?;Praiacy Crossing station is very clean.;Which lines is Zaugneyland on?;Zaugneyland is on one line.;Are Wheict Upon Thames and Dyniirn Way on the same line?;Wheict Upon Thames and Dyniirn Way are on different lines.;What is the cleanliness level of Praiacy Crossing station and Which lines is Zaugneyland on and Are Wheict Upon Thames and Dyniirn Way on the same line?;True;True;2.639143943786621
At Thruolly Lane what sort of music plays?;Ambient music plays at Thruolly Lane.;Describe Criish Crossing station's architectural style.;Criish Crossing features Renaissance architecture.;Does Wriott Court have rail connections?;Wriott Court has rail connections available.;At Thruolly Lane what sort of music plays and Describe Criish Crossing station's architectural style and Does Wriott Court have rail connections?;True;True;1.6182053089141846
How many music styles does Orange Dweots pass through?;Orange Dweots features three different music styles.;What size is Xaath Way?;Xaath Way is a medium-sized area.;Which stations does Red Briudly pass through?;Red Briudly passes through eight stations.;How many music styles does Orange Dweots pass through and What size is Xaath Way and Which stations does Red Briudly pass through?;True;True;1.5460128784179688
Is there disabled access at Physeiasts Road?;Physeiasts Road provides disabled access.;Which stations does Purple Psycharts pass through?;Purple Psycharts passes through eight stations.;Does Noltington have disabled access?;Noltington offers disabled access.;Is there disabled access at Physeiasts Road and Which stations does Purple Psycharts pass through and Does Noltington have disabled access?;True;False;1.566438913345337
How many stations are between Jeask Palace and Psycheact Hospital?;There are five stations between Jeask Palace and Psycheact Hospital.;How many sizes of station does Orange Dwomp pass through?;Orange Dwomp passes through stations of four different sizes.;Does Mccaork Estate have disabled access?;Mccaork Estate offers disabled access.;How many stations are between Jeask Palace and Psycheact Hospital and How many sizes of station does Orange Dwomp pass through and Does Mccaork Estate have disabled access?;True;True;1.5245723724365234
What is the cleanliness level of Spriaords Palace station?;Spriaords Palace station is exceptionally clean.;How many sizes of station does Orange Dweots pass through?;Orange Dweots passes through stations of five different sizes.;What is the cleanliness level of Mcciays Court station?;Mcciays Court station is highly clean.;What is the cleanliness level of Spriaords Palace station and How many sizes of station does Orange Dweots pass through and What is the cleanliness level of Mcciays Court station?;True;True;1.510725021362305
