Question;Used History Expected;Used History Chatbot Decision;Duration
Does Mccaork Estate have disabled access?;False;False;1.811047077178955
What is the cleanliness level of Praiacy Crossing station?;False;False;1.7943484783172607
At Thruolly Lane what sort of music plays?;False;False;1.4209671020507812
How many music styles does Orange Dweots pass through?;False;False;0.9822139739990234
Is there disabled access at Physeiasts Road?;False;False;1.5869474411010742
How many stations are between Jeask Palace and Psycheact Hospital?;False;False;1.3109591007232666
What is the cleanliness level of Spriaords Palace station?;False;False;1.7414097785949707
Which lines is Hypiap Grove on?;False;False;1.0915803909301758
How many architectural styles does Purple Xiour pass through?;False;False;1.262709379196167
Is there disabled access at Draamp Lane?;False;False;1.2567987442016602
Can you get rail connections at Pfaantlywich?;False;False;1.278752088546753
What is the cleanliness level of Schooz Upon Thames station?;False;False;1.4348275661468506
Which lines is Jeod On Trent on?;False;False;2.3367440700531006
What size is Schwuosk Estate?;False;False;3.022658348083496
Is there disabled access at Knaapt Manor?;False;False;1.4780216217041016
Does Trar Crossing have disabled access?;False;False;1.5773675441741943
Does Fruirtyneyland have disabled access?;False;False;1.5451297760009766
What size is Snieub Estate?;False;False;1.5580143928527832
How many sizes of station does Cyan Troll pass through?;False;False;1.5065925121307373
What size is Hypask Square?;False;False;1.6148877143859863
At Mcclass Court what sort of music plays?;False;False;1.3990154266357422
Describe Spieuhl St station's architectural style.;False;False;1.898836612701416
Does Mcfoepp Lane have disabled access?;False;False;1.6529054641723633
What is the cleanliness level of Psychiaongs Court station?;False;False;1.3682548999786377
Are Symbeiash Hospital and Mcfial St on the same line?;False;False;1.0096185207366943
Does Schwarryington have rail connections?;False;False;2.104067802429199
What movies has Keanu Reeves acted in?;False;False;1.198606014251709
How many movies has Carrie-Anne Moss directed?;False;False;1.3480722904205322
"Who directed the movie ""The Matrix Reloaded""?";False;False;1.3142781257629397
Which movies did Laurence Fishburne direct?;False;False;1.3731014728546145
When was the actor Keanu Reeves born?;False;False;0.9558877944946288
"How many votes did the movie ""The Matrix Reloaded"" receive?";False;False;1.8881700038909912
When was the actor Helen Hunt born?;False;False;2.4125454425811768
"What is the tagline of the movie ""What Dreams May Come""?";False;False;0.9091730117797852
In which movies has Carrie-Anne Moss acted?;False;False;0.9760775566101074
"When was the movie ""The Devil's Advocate"" released?";False;False;1.835765361785889
"How many votes did the movie ""Hoffa"" receive?";False;False;1.4596810340881348
"Did Hugo Weaving act in, direct, or produce ""The Matrix Reloaded""?";False;False;2.7495031356811523
"What is the tagline of the movie ""The Devil's Advocate""?";False;False;1.101841926574707
What year was the actor Hugo Weaving born?;False;False;2.209541082382202
Which movies has Joel Silver produced?;False;False;1.381962776184082
When was the actor Annabella Sciorra born?;False;False;2.1350488662719727
"Did Carrie-Anne Moss act in ""What Dreams May Come""?";False;False;1.2750825881958008
What movies were directed by Laurence Fishburne?;False;False;1.5429341793060305
"When was the movie ""The Devil's Advocate"" released?";False;False;1.403355360031128
"How many votes did the movie ""What Dreams May Come"" receive?";False;False;1.3876972198486328
Has Keanu Reeves ever directed a movie?;False;False;1.4195423126220703
What is the actor Joel Silver's birth year?;False;False;1.5017428398132324
Which movies feature Hugo Weaving as an actor?;False;False;2.092562437057495
"Did Laurence Fishburne act in or direct ""Hoffa""?";False;False;4.031235218048096
How many movies has Carrie-Anne Moss acted in since 2000?;False;False;1.309681415557861
"In what year was the movie ""The Matrix Reloaded"" released?";False;False;1.0597491264343262
"Who produced the movie ""The Devil's Advocate""?";False;False;1.0501246452331543
What movies has Keanu Reeves acted in that were released in the 2000s?;False;False;1.9861581325531008
"Did Hugo Weaving act in ""What Dreams May Come""?";False;False;1.16119647026062
"How many votes did the movie ""The Matrix Reloaded"" receive in total?";False;False;1.3351483345031738
List all the movies directed by Joel Silver.;False;False;1.1796526908874512
What is the birth year of the actor Carrie-Anne Moss?;False;False;1.7026596069335938
Which movies starring Laurence Fishburne were released in the 1990s?;False;False;1.0134503841400146
How many movies has Madonna directed?;False;False;1.267024040222168
What movies has Hugo Weaving acted in with a Sci-Fi theme?;False;False;1.3608894348144531
In which movies did Carrie-Anne Moss play a leading role?;False;False;1.3918561935424805
"What is the release year of the movie ""What Dreams May Come""?";False;False;1.012138605117798
List all the movies produced by Joel Silver.;False;False;0.9286162853240968
What movies has Laurence Fishburne acted in that have won awards?;False;False;0.975855827331543
Did Hugo Weaving direct any movies released in the 2000s?;False;False;1.841192483901977
What is the birth year of the actor Laurence Fishburne?;False;False;1.8116393089294436
Who directed the movies that Joel Silver produced?;False;False;1.620738506317139
"Who wrote the script for the movie ""The Matrix Reloaded""?";False;False;1.1744298934936523
Which movies feature Keanu Reeves in a leading role?;False;False;1.4022574424743652
Has Hugo Weaving ever been involved in a movie as a producer?;False;False;1.2239091396331787
How many films has Carrie-Anne Moss acted in that were released before 2000?;False;False;1.413740634918213
Who directed the movies in which Joel Silver acted?;False;False;2.544693946838379
How many movies has Lilly Wachowski directed?;False;False;1.3589940071105957
How many movies has Joel Silver produced?;False;False;1.1047477722167969
What movies acted Carrie-Anne Moss were released in the 1990s?;False;False;2.827605724334717
"Who wrote the script for the movie ""The Devil's Advocate""?";False;False;1.244232177734375
"How many votes has the movie ""What Dreams May Come"" become?";False;False;2.3156416416168213
What movies has Stephen Rea acted in?;False;False;1.4697504043579102
"In what year was the movie ""The Devil's Advocate"" released?";False;False;2.0000932216644287
What movies feature Hugo Weaving in a supporting role?;False;False;1.029507398605347
Which films has Joel Silver directed?;False;False;1.6832480430603027
"How many votes did the movie ""What Dreams May Come"" get?";False;False;2.2085351943969727
"Did Carrie-Anne Moss act in ""The Devil's Advocate""?";False;False;1.4392781257629397
What year was the actor Laurence Fishburne born?;False;False;1.6831412315368652
Which movies has Keanu Reeves reviewed?;False;False;1.3950138092041016
How many films has Hugo Weaving acted in since 2010?;False;False;1.1131956577301023
"Did Keanu Reeves act in or produce ""What Dreams May Come""?";False;False;1.733945369720459
"What's the tagline for the movie ""What Dreams May Come""?";False;False;2.1576268672943115
When was the actor Keanu Reeves born?;False;False;1.3195562362670898
"How many votes did the movie ""The Matrix"" receive?";False;False;1.0403919219970703
"What is the tagline of the movie ""The Matrix Reloaded""?";False;False;1.543421506881714
"When was the movie ""The Matrix Revolutions"" released?";False;False;1.4857418537139893
"Did Carrie-Anne Moss act in the movie ""The Devil's Advocate""?";False;False;1.5854947566986084
What movies has Laurence Fishburne directed?;False;False;1.5170838832855225
"How many votes did the movie ""A Few Good Men"" receive?";False;False;1.4972476959228516
"What is the tagline of the movie ""Top Gun""?";False;False;1.0041286945343018
"When was the movie ""Jerry Maguire"" released?";False;False;1.3269011974334717
In which movies has Hugo Weaving acted?;False;False;1.0793592929840088
What year was the actor Lilly Wachowski born?;False;False;2.187358856201172
Which movies has Lana Wachowski directed?;False;False;1.1917002201080322
"How many votes did the movie ""Joe Versus the Volcano"" get?";False;False;0.9482955932617188
"What is the tagline of the movie ""When Harry Met Sally""?";False;False;1.0565335750579834
"When was the movie ""That Thing You Do"" released?";False;False;1.1638624668121338
"Did Joel Silver produce ""The Replacements""?";False;False;1.26786470413208
What movies has Emil Eifrem acted in?;False;False;1.250190019607544
"How many votes did the movie ""Rescue Dawn"" receive?";False;False;1.0296292304992676
"What is the tagline of the movie ""The Birdcage""?";False;False;1.303640842437744
"When was the movie ""Unforgiven"" released?";False;False;1.0316567420959473
In which movies has Charlize Theron acted?;False;False;1.250563621520996
"How many votes did the movie ""Johnny Mnemonic"" receive?";False;False;1.828627109527588
"What is the tagline of the movie ""Cloud Atlas""?";False;False;1.8500337600708008
"When was ""The Da Vinci Code"" released?";False;False;1.3056237697601318
"Did Al Pacino act in ""V for Vendetta""?";False;False;1.1003518104553225
What movies has Taylor Hackford directed?;False;False;2.726303815841675
"How many votes did the movie ""Speed Racer"" get?";False;False;1.1773176193237305
"What is the tagline of the movie ""Ninja Assassin""?";False;False;1.14662504196167
"When was the movie ""The Green Mile"" released?";False;False;1.9460687637329104
In which movies has Tom Cruise acted?;False;False;1.1768128871917725
"How many votes did the movie ""Frost/Nixon"" receive?";False;False;1.8087315559387207
"What is the tagline of the movie ""Hoffa""?";False;False;2.200643301010132
"When was the movie ""Apollo 13"" released?";False;False;0.8940088748931885
"Did Jack Nicholson act in ""Twister""?";False;False;1.2408831119537354
What movies has Demi Moore directed?;False;False;1.2583680152893066
"How many votes did the movie ""Cast Away"" get?";False;False;1.4561126232147217
"What is the tagline of the movie ""One Flew Over the Cuckoo's Nest""?";False;False;0.9225921630859376
"When was the movie ""Something's Gotta Give"" released?";False;False;1.177299976348877
In which movies has Renee Zellweger acted?;False;False;1.4361684322357178
"How many votes did the movie ""Bicentennial Man"" receive?";False;False;1.625990629196167
"What is the tagline of the movie ""Charlie Wilson's War""?";False;False;2.251288414001465
"When was the movie ""The Polar Express"" released?";False;False;1.6383445262908936
"Did Kiefer Sutherland act in ""A League of Their Own""?";False;False;1.2072889804840088
What movies has Noah Wyle directed?;False;False;1.574634075164795
"How many votes did the movie ""Stand By Me"" get?";False;False;1.0978541374206543
"What is the tagline of the movie ""As Good as It Gets""?";False;False;0.9815104007720948
"When was the movie ""What Dreams May Come"" released?";False;False;1.3935878276824951
In which movies has Cuba Gooding Jr. acted?;False;False;1.6408851146697998
"How many votes did the movie ""Snow Falling on Cedars"" receive?";False;False;2.4160091876983643
"What is the tagline of the movie ""You've Got Mail""?";False;False;2.545868396759033
Was the actor Lilly Wachowski born in 1960?;False;False;1.7896647453308103
