Question 1;Answer Question 1;Question 2;Answer Question 2;Question 3;Used History Expected;Used History Chatbot Decision;Duration
Are Klaucs On Trent and Glauehl Way on the same line?;Klaucs On Trent and Glauehl Way are on the same line.;Which lines is Whoubbridge on?;Whoubbridge is on two lines.;Are Klaucs On Trent and Glauehl Way on the same line and which lines is whoubbridge on?;True;False;1.2676169872283936
Does Siish Boulevard have disabled access?;Siish Boulevard offers disabled access.;Does Skiesly Palace have rail connections?;Skiesly Palace has rail connections available.;Does Siish Boulevard have disabled access and does skiesly palace have rail connections?;True;True;1.6893012523651123
Is there disabled access at Cliick On Trent?;Cliick On Trent provides disabled access.;At Mcguierds Crossing what sort of music plays?;Pop music plays at Mcguierds Crossing.;Is there disabled access at Cliick On Trent and at mcguierds crossing what sort of music plays?;True;True;1.4476869106292725
What size is Sift Boulevard?;Sift Boulevard is a medium-sized station.;Is there disabled access at Gnoects Upon Thames?;Gnoects Upon Thames offers disabled access.;What size is Sift Boulevard and is there disabled access at gnoects upon thames?;True;True;1.6044480800628662
Does Trauesp Palace have rail connections?;Trauesp Palace does not have rail connections.;Does Rhuol Palace have disabled access?;Rhuol Palace provides disabled access.;Does Trauesp Palace have rail connections and does rhuol palace have disabled access?;True;True;1.5548264980316162
How clean is Rheirst Lane?;Rheirst Lane is very clean.;Which lines is Skiesly Palace on?;Skiesly Palace is on three lines.;How clean is Rheirst Lane and which lines is skiesly palace on?;True;True;6.169870376586914
What size is Kliags Bridge?;Kliags Bridge is a large station.;Does Mcoeg Crossing have disabled access?;Mcoeg Crossing offers disabled access.;What size is Kliags Bridge and does mcoeg crossing have disabled access?;True;True;1.6914160251617432
Can you get rail connections at Cuinnton?;Cuinnton has rail connections available.;Describe Schlaiosm Hospital station's architectural style.;Schlaiosm Hospital is designed in an Art Deco style.;Can you get rail connections at Cuinnton and describe schlaiosm hospital station's architectural style.;True;True;1.3979887962341309
Describe Jeod On Trent station's architectural style.;Jeod On Trent station is designed in a Renaissance style.;Are Mcguell On Trent and Dwuislyneyland on the same line?;Mcguell On Trent and Dwuislyneyland are on different lines.;Describe Jeod On Trent station's architectural style. and are mcguell on trent and dwuislyneyland on the same line?;True;True;1.7571310997009275
Can you get rail connections at Debington?;Debington has rail connections available.;How many architectural styles does Red Hrouly pass through?;Red Hrouly passes through four different architectural styles.;Can you get rail connections at Debington and how many architectural styles does red hrouly pass through?;True;True;1.2652511596679688
What architectural style is Kleompton?;Kleompton features Baroque architecture.;Does Naiars St have rail connections?;Naiars St has rail connections available.;What architectural style is Kleompton and does naiars st have rail connections?;True;True;5.295198202133179
Is there disabled access at Xaath Way?;Xaath Way provides disabled access.;How many music styles does Cyan Troll pass through?;Cyan Troll features three different music styles.;Is there disabled access at Xaath Way and how many music styles does cyan troll pass through?;True;True;1.9234740734100344
Is there disabled access at Mcgeegsington?;Mcgeegsington offers disabled access.;At Spaiarf Manor what sort of music plays?;Ambient music plays at Spaiarf Manor.;Is there disabled access at Mcgeegsington and at spaiarf manor what sort of music plays?;True;True;1.320179462432861
What music plays at Schruaks Grove?;Jazz music plays at Schruaks Grove.;Are Mcgeegsington and Truick Grove on the same line?;Mcgeegsington and Truick Grove are on the same line.;What music plays at Schruaks Grove and are mcgeegsington and truick grove on the same line?;True;True;2.0896105766296387
Does Looks Square have disabled access?;Looks Square provides disabled access.;How many stations are between Ghiigh Way and Chrietch Bridge?;There are five stations between Ghiigh Way and Chrietch Bridge.;Does Looks Square have disabled access and how many stations are between ghiigh way and chrietch bridge?;True;True;1.3396787643432615
How many stations are between Mcgeegsington and Dynieucks St?;There are five stations between Mcgeegsington and Dynieucks St.;How clean is Czeisch Way?;Czeisch Way is exceptionally clean.;How many stations are between Mcgeegsington and Dynieucks St and how clean is czeisch way?;True;True;2.230220079421997
Describe Slairt Estate station's architectural style.;Slairt Estate station is designed in a contemporary style.;Describe Mcguierds Crossing station's architectural style.;Mcguierds Crossing features Victorian Gothic architecture.;Describe Slairt Estate station's architectural style. and describe mcguierds crossing station's architectural style.;True;True;1.9815342426300049
How many sizes of station does Purple Psycharts pass through?;Purple Psycharts passes through stations of four different sizes.;How clean is Klicswich?;Klicswich is fairly clean.;How many sizes of station does Purple Psycharts pass through and how clean is klicswich?;True;True;1.306520938873291
What size is Glauehl Way?;Glauehl Way is a small-sized station.;What is the cleanliness level of Floudy Manor station?;Floudy Manor station is highly clean.;What size is Glauehl Way and what is the cleanliness level of floudy manor station?;True;True;1.5791294574737549
How many sizes of station does Pink Dreark pass through?;Pink Dreark passes through stations of three different sizes.;How many lines is Pruest Bridge on?;Pruest Bridge is on one line.;How many sizes of station does Pink Dreark pass through and how many lines is pruest bridge on?;True;True;2.6681487560272217
Which lines is Jeiabs Hospital on?;Jeiabs Hospital is on two lines.;Which stations does Purple Hydraf pass through?;Purple Hydraf passes through six stations.;Which lines is Jeiabs Hospital on and which stations does purple hydraf pass through?;True;False;1.5403509140014648
What is the cleanliness level of Diocs Estate station?;Diocs Estate station is very clean.;What music plays at Draamp Lane?;Electronic music plays at Draamp Lane.;What is the cleanliness level of Diocs Estate station and what music plays at draamp lane?;True;True;1.720388412475586
Are Chrietch Bridge and Spieuhl St on the same line?;Chrietch Bridge and Spieuhl St are on the same line.;How many stations are between Praiacy Crossing and Xoep Bridge?;There are four stations between Praiacy Crossing and Xoep Bridge.;Are Chrietch Bridge and Spieuhl St on the same line and how many stations are between praiacy crossing and xoep bridge?;True;True;1.2898931503295898
Which stations does Blue Twauect pass through?;Blue Twauect passes through eight stations.;Are Klaucs On Trent and Klioc Palace on the same line?;Klaucs On Trent and Klioc Palace are on the same line.;Which stations does Blue Twauect pass through and are klaucs on trent and klioc palace on the same line?;True;False;1.3839142322540283
How many stations are between Klioc Palace and Krep Bridge?;There are three stations between Klioc Palace and Krep Bridge.;Which lines is Dyniaopt On Trent on?;Dyniaopt On Trent is on two lines.;How many stations are between Klioc Palace and Krep Bridge and which lines is dyniaopt on trent on?;True;True;1.487452268600464
What architectural style is Spieuhl St?;Spieuhl St is designed in a Neo-Gothic style.;How many stations are between Chrietch Bridge and Mcfial St?;There are three stations between Chrietch Bridge and Mcfial St.;What architectural style is Spieuhl St and how many stations are between chrietch bridge and mcfial st?;True;True;1.9210205078125
How clean is Soillsham?;Soillsham is fairly clean.;Describe Mckiewn Grove station's architectural style.;Mckiewn Grove is designed in a contemporary minimalist style.;How clean is Soillsham and describe mckiewn grove station's architectural style.;True;True;5.757399559020996
How big is Soillsham?;Soillsham is a medium-sized area.;How many sizes of station does Olive Hydrieubs pass through?;Olive Hydrieubs passes through stations of four different sizes.;How big is Soillsham and how many sizes of station does olive hydrieubs pass through?;True;True;1.486483097076416
How many stations are between Schruaks Grove and Schmeelly Court?;There are seven stations between Schruaks Grove and Schmeelly Court.;How many architectural styles does Green Mcgoimp pass through?;Green Mcgoimp passes through five different architectural styles.;How many stations are between Schruaks Grove and Schmeelly Court and how many architectural styles does green mcgoimp pass through?;True;True;2.061858892440796
How many lines is Schlaiosm Hospital on?;Schlaiosm Hospital is on four lines.;What size is Psycheact Hospital?;Psycheact Hospital is a small-sized area.;How many lines is Schlaiosm Hospital on and what size is psycheact hospital?;True;True;1.0963356494903564
What is the cleanliness level of Chraets Square station?;Chraets Square station is exceptionally clean.;Does Noltington have disabled access?;Noltington offers disabled access.;What is the cleanliness level of Chraets Square station and does noltington have disabled access?;True;True;1.3590223789215088
How many architectural styles does Purple Xiour pass through?;Purple Xiour passes through five different architectural styles.;Which stations does Red Briudly pass through?;Red Briudly passes through eight stations.;How many architectural styles does Purple Xiour pass through and which stations does red briudly pass through?;True;False;1.4909207820892334
Are Pfaorts Court and Klaucs On Trent on the same line?;Pfaorts Court and Klaucs On Trent are on different lines.;Does Wriott Court have rail connections?;Wriott Court has rail connections available.;Are Pfaorts Court and Klaucs On Trent on the same line and does wriott court have rail connections?;True;True;1.536543369293213
Does Xaath Way have rail connections?;Xaath Way has rail connections available.;Are Wheict Upon Thames and Dyniirn Way on the same line?;Wheict Upon Thames and Dyniirn Way are on different lines.;Does Xaath Way have rail connections and are wheict upon thames and dyniirn way on the same line?;True;True;1.1803174018859863
Are Fruirtyneyland and Theunn Crossing on the same line?;Fruirtyneyland and Theunn Crossing are on the same line.;Is there disabled access at Skaoz Square?;Skaoz Square provides disabled access.;Are Fruirtyneyland and Theunn Crossing on the same line and is there disabled access at skaoz square?;True;True;1.4979031085968018
What is the cleanliness level of Sqearn Bridge station?;Sqearn Bridge station is moderately clean.;How many music styles does Purple Waec pass through?;Purple Waec features two different music styles.;What is the cleanliness level of Sqearn Bridge station and how many music styles does purple waec pass through?;True;True;1.6997284889221191
How big is Wreastton?;Wreastton is a large town.;At Sqiirry Estate what sort of music plays?;Rock music plays at Sqiirry Estate.;How big is Wreastton and at sqiirry estate what sort of music plays?;True;True;1.1692330837249756
Is there disabled access at Whiaop Street?;Whiaop Street offers disabled access.;What size is Wheict Upon Thames?;Wheict Upon Thames is a large-sized area.;Is there disabled access at Whiaop Street and what size is wheict upon thames?;True;True;1.4067468643188477
How many music styles does Blue Twauect pass through?;Blue Twauect features two different music styles.;Can you get rail connections at Maodston?;Maodston has rail connections available.;How many music styles does Blue Twauect pass through and can you get rail connections at maodston?;True;True;1.2945661544799805
How many sizes of station does Green Criengs pass through?;Green Criengs passes through stations of five different sizes.;Which stations does Orange Dweots pass through?;Orange Dweots passes through nine stations.;How many sizes of station does Green Criengs pass through and which stations does orange dweots pass through?;True;False;2.214006185531616
How many architectural styles does Cyan Hypory pass through?;Cyan Hypory passes through four different architectural styles.;Can you get rail connections at Dyneih Road?;Dyneih Road has rail connections available.;How many architectural styles does Cyan Hypory pass through and can you get rail connections at dyneih road?;True;True;1.21073317527771
What size is Trauesp Palace?;Trauesp Palace is a large-sized station.;How big is Schwarryington?;Schwarryington is a large-sized area.;What size is Trauesp Palace and how big is schwarryington?;True;True;1.1354832649230957
Describe Jauedy Hospital station's architectural style.;Jauedy Hospital station features Brutalist architecture.;How clean is Poath Upon Thames?;Poath Upon Thames is very clean.;Describe Jauedy Hospital station's architectural style. and how clean is poath upon thames?;True;True;2.2590150833129883
Are Typairn Estate and Kroakswich on the same line?;Typairn Estate and Kroakswich are on the same line.;What music plays at Hroeps Way?;Jazz music plays at Hroeps Way.;Are Typairn Estate and Kroakswich on the same line and what music plays at hroeps way?;True;True;1.436971664428711
How many stations are between Pfeirty International and Schlaiosm Hospital?;There are eight stations between Pfeirty International and Schlaiosm Hospital.;How many architectural styles does Pink Whiel pass through?;Pink Whiel passes through three different architectural styles.;How many stations are between Pfeirty International and Schlaiosm Hospital and how many architectural styles does pink whiel pass through?;True;True;1.6623923778533936
How many architectural styles does Green Mcgoimp pass through?;Green Mcgoimp passes through six different architectural styles.;How many lines is Ping Palace on?;Ping Palace is on two lines.;How many architectural styles does Green Mcgoimp pass through and how many lines is ping palace on?;True;True;1.5534911155700684
How many lines is Wrotz Upon Thames on?;Wrotz Upon Thames is on three lines.;How many sizes of station does Purple Psycharts pass through?;Purple Psycharts passes through stations of three different sizes.;How many lines is Wrotz Upon Thames on and how many sizes of station does purple psycharts pass through?;True;True;1.9396092891693115
Which stations does Pink Dreark pass through?;Pink Dreark passes through nine stations.;Which stations does Purple Xiour pass through?;Purple Xiour passes through seven stations.;Which stations does Pink Dreark pass through and which stations does purple xiour pass through?;True;False;1.4929437637329102
Is there disabled access at Froam Lane?;Froam Lane provides disabled access.;How many stations are between Khords Court and Spieuhl St?;There are six stations between Khords Court and Spieuhl St.;Is there disabled access at Froam Lane and how many stations are between khords court and spieuhl st?;True;True;1.1300523281097412
How clean is Wrotz Upon Thames?;Wrotz Upon Thames is clean.;What is the cleanliness level of Chraets Square station?;Chraets Square station is exceptionally clean.;How clean is Wrotz Upon Thames and what is the cleanliness level of chraets square station?;True;True;1.502504825592041
How clean is Gloiatsneyland?;Gloiatsneyland is very clean.;What is the cleanliness level of Wraiocts Grove station?;Wraiocts Grove station is highly clean.;How clean is Gloiatsneyland and what is the cleanliness level of wraiocts grove station?;True;True;1.7684898376464844
How many lines is Cuinnton on?;Cuinnton is on two lines.;Describe Xaung Boulevard station's architectural style.;Xaung Boulevard features Neo-Gothic architecture.;How many lines is Cuinnton on and describe xaung boulevard station's architectural style.;True;True;1.011014699935913
Can you get rail connections at Hypiap Grove?;Hypiap Grove has rail connections available.;Can you get rail connections at Mcclaify Court?;Mcclaify Court has rail connections available.;Can you get rail connections at Hypiap Grove and can you get rail connections at mcclaify court?;True;True;1.4919826984405518
What is the cleanliness level of Mcciays Court station?;Mcciays Court station is highly clean.;Does Schwoschham have disabled access?;Schwoschham offers disabled access.;What is the cleanliness level of Mcciays Court station and does schwoschham have disabled access?;True;True;1.095998764038086
Does Mccaork Estate have disabled access?;Mccaork Estate offers disabled access.;How many music styles does Purple Waec pass through?;Purple Waec passes through four different music styles.;Does Mccaork Estate have disabled access and how many music styles does purple waec pass through?;True;True;5.12602686882019
What is the cleanliness level of Praiacy Crossing station?;Praiacy Crossing station is very clean.;Which lines is Zaugneyland on?;Zaugneyland is on one line.;What is the cleanliness level of Praiacy Crossing station and which lines is zaugneyland on?;True;False;1.2771565914154053
At Thruolly Lane what sort of music plays?;Ambient music plays at Thruolly Lane.;Describe Criish Crossing station's architectural style.;Criish Crossing features Renaissance architecture.;At Thruolly Lane what sort of music plays and describe criish crossing station's architectural style.;True;True;1.797837257385254
How many music styles does Orange Dweots pass through?;Orange Dweots features three different music styles.;What size is Xaath Way?;Xaath Way is a medium-sized area.;How many music styles does Orange Dweots pass through and what size is xaath way?;True;True;1.5558428764343262
Is there disabled access at Physeiasts Road?;Physeiasts Road provides disabled access.;Which stations does Purple Psycharts pass through?;Purple Psycharts passes through eight stations.;Is there disabled access at Physeiasts Road and which stations does purple psycharts pass through?;True;False;2.0711443424224854
How many stations are between Jeask Palace and Psycheact Hospital?;There are five stations between Jeask Palace and Psycheact Hospital.;How many sizes of station does Orange Dwomp pass through?;Orange Dwomp passes through stations of four different sizes.;How many stations are between Jeask Palace and Psycheact Hospital and how many sizes of station does orange dwomp pass through?;True;True;1.5818228721618652
What is the cleanliness level of Spriaords Palace station?;Spriaords Palace station is exceptionally clean.;How many sizes of station does Orange Dweots pass through?;Orange Dweots passes through stations of five different sizes.;What is the cleanliness level of Spriaords Palace station and how many sizes of station does orange dweots pass through?;True;True;1.1717267036437988
Which lines is Hypiap Grove on?;Hypiap Grove is on two lines.;Does Schwarryington have disabled access?;Schwarryington offers disabled access.;Which lines is Hypiap Grove on and does schwarryington have disabled access?;True;False;1.0691351890563965
How many architectural styles does Purple Xiour pass through?;Purple Xiour passes through three different architectural styles.;Which stations does Olive Tuamp pass through?;Olive Tuamp passes through six stations.;How many architectural styles does Purple Xiour pass through and which stations does olive tuamp pass through?;True;False;1.7200140953063965
Is there disabled access at Draamp Lane?;Draamp Lane offers disabled access.;Does Chrift Court have rail connections?;Chrift Court has rail connections available.;Is there disabled access at Draamp Lane and does chrift court have rail connections?;True;True;1.464998722076416
Can you get rail connections at Pfaantlywich?;Pfaantlywich has rail connections available.;How big is Hypaaft Court?;Hypaaft Court is a large-sized area.;Can you get rail connections at Pfaantlywich and how big is hypaaft court?;True;True;1.370919942855835
What is the cleanliness level of Schooz Upon Thames station?;Schooz Upon Thames station is very clean.;How clean is Skiesly Palace?;Skiesly Palace is moderately clean.;What is the cleanliness level of Schooz Upon Thames station and how clean is skiesly palace?;True;True;1.837782859802246
Which lines is Jeod On Trent on?;Jeod On Trent is on four lines.;How many sizes of station does Orange Dweots pass through?;Orange Dweots passes through stations of six different sizes.;Which lines is Jeod On Trent on and how many sizes of station does orange dweots pass through?;True;True;1.2749011516571045
What size is Schwuosk Estate?;Schwuosk Estate is a medium-sized area.;Does Maiaz Court have rail connections?;Maiaz Court has rail connections available.;What size is Schwuosk Estate and does maiaz court have rail connections?;True;True;1.3112223148345947
Is there disabled access at Knaapt Manor?;Knaapt Manor provides disabled access.;Which stations does Olive Tuamp pass through?;Olive Tuamp passes through five stations.;Is there disabled access at Knaapt Manor and which stations does olive tuamp pass through?;True;False;1.6368398666381836
Does Trar Crossing have disabled access?;Trar Crossing offers disabled access.;How many stations are between Rhisk Crossing and Schwoiarth St?;There are seven stations between Rhisk Crossing and Schwoiarth St.;Does Trar Crossing have disabled access and how many stations are between rhisk crossing and schwoiarth st?;True;True;1.4817359447479248
Does Fruirtyneyland have disabled access?;Fruirtyneyland provides disabled access.;How many architectural styles does Purple Xeiav pass through?;Purple Xeiav passes through five different architectural styles.;Does Fruirtyneyland have disabled access and how many architectural styles does purple xeiav pass through?;True;True;1.1719858646392822
What size is Snieub Estate?;Snieub Estate is a large-sized area.;Which stations does Orange Dweots pass through?;Orange Dweots passes through eight stations.;What size is Snieub Estate and which stations does orange dweots pass through?;True;False;1.9176039695739744
How many sizes of station does Cyan Troll pass through?;Cyan Troll passes through stations of four different sizes.;Describe Twuft Square station's architectural style.;Twuft Square features Modernist architecture.;How many sizes of station does Cyan Troll pass through and describe twuft square station's architectural style.;True;True;1.4932279586791992
What size is Hypask Square?;Hypask Square is a small-sized area.;How many music styles does Green Criengs pass through?;Green Criengs features four different music styles.;What size is Hypask Square and how many music styles does green criengs pass through?;True;True;2.1174440383911133
At Mcclass Court what sort of music plays?;Pop music plays at Mcclass Court.;What size is Skiesly Palace?;Skiesly Palace is a large-sized area.;At Mcclass Court what sort of music plays and what size is skiesly palace?;True;True;1.4424245357513428
Describe Spieuhl St station's architectural style.;Spieuhl St station features Renaissance architecture.;How many stations are between Pleiw St and Sceiys Road?;There are four stations between Pleiw St and Sceiys Road.;Describe Spieuhl St station's architectural style. and how many stations are between pleiw st and sceiys road?;True;True;1.103928565979004
Does Mcfoepp Lane have disabled access?;Mcfoepp Lane offers disabled access.;Does Schrioull St have disabled access?;Schrioull St offers disabled access.;Does Mcfoepp Lane have disabled access and does schrioull st have disabled access?;True;True;3.146416187286377
What is the cleanliness level of Psychiaongs Court station?;Psychiaongs Court station is clean.;How many lines is Schmaild Crossing on?;Schmaild Crossing is on two lines.;What is the cleanliness level of Psychiaongs Court station and how many lines is schmaild crossing on?;True;True;3.153981208801269
Are Symbeiash Hospital and Mcfial St on the same line?;Symbeiash Hospital and Mcfial St are on different lines.;Does Mcciays Court have disabled access?;Mcciays Court provides disabled access.;Are Symbeiash Hospital and Mcfial St on the same line and does mcciays court have disabled access?;True;True;1.378115177154541
Does Schwarryington have rail connections?;Schwarryington has rail connections available.;Does Kleoslyneyland have rail connections?;Kleoslyneyland has rail connections available.;Does Schwarryington have rail connections and does kleoslyneyland have rail connections?;True;True;1.585649013519287
What movies has Keanu Reeves acted in?;"Keanu Reeves acted in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions.""";What year was the movie 'Bicentennial Man' released?;"""Bicentennial Man"" was released in 1999.";What movies has Keanu Reeves acted in and What year was the movie 'Bicentennial Man' released?;True;True;1.199841022491455
How many movies has Carrie-Anne Moss directed?;Carrie-Anne Moss has not directed any movies.;What year was the movie 'One Flew Over the Cuckoo's Nest' released?;"""One Flew Over the Cuckoo's Nest"" was released in 1975.";How many movies has Carrie-Anne Moss directed and What year was the movie 'One Flew Over the Cuckoo's Nest' released?;True;True;1.2660930156707764
"Who directed the movie ""The Matrix Reloaded""?";"""The Matrix Reloaded"" was directed by Lana Wachowski and Lilly Wachowski.";What movies has Chris Columbus acted in?;Chris Columbus has not acted in any movies.;"Who directed the movie ""The Matrix Reloaded"" and What movies has Chris Columbus acted in?";True;True;1.5070247650146484
Which movies did Laurence Fishburne direct?;Laurence Fishburne has not directed any movies.;How many movies has Cameron Crowe directed?;Cameron Crowe has not directed any movies.;Which movies did Laurence Fishburne direct and How many movies has Cameron Crowe directed?;True;False;1.0194318294525146
When was the actor Keanu Reeves born?;Keanu Reeves was born in 1964.;What movies has Christina Ricci acted in?;"Christina Ricci acted in ""Speed Racer"".";When was the actor Keanu Reeves born and What movies has Christina Ricci acted in?;True;False;1.234767198562622
"How many votes did the movie ""The Matrix Reloaded"" receive?";"""The Matrix Reloaded"" received 1444 votes.";How many movies has Gary Sinise directed?;Gary Sinise has not directed any movies.;"How many votes did the movie ""The Matrix Reloaded"" receive and How many movies has Gary Sinise directed?";True;True;0.983494520187378
When was the actor Helen Hunt born?;Helen Hunt was born in 1963.;What is the tagline of the movie 'What Dreams May Come'?;"The tagline of ""What Dreams May Come"" is ""After life there is more. The end is just the beginning.""";When was the actor Helen Hunt born and What is the tagline of the movie 'What Dreams May Come'?;True;True;1.7232928276062012
"What is the tagline of the movie ""What Dreams May Come""?";"The tagline of ""What Dreams May Come"" is ""After life there is more. The end is just the beginning.""";What movies has Ice-T acted in?;"Ice-T has not acted in ""Johnny Mnemonic"".";"What is the tagline of the movie ""What Dreams May Come"" and What movies has Ice-T acted in?";True;False;0.9124398231506348
In which movies has Carrie-Anne Moss acted?;"Carrie-Anne Moss acted in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions.""";When was the actor Orlando Jones born?;Orlando Jones was born in 1968.;In which movies has Carrie-Anne Moss acted and When was the actor Orlando Jones born?;True;True;1.2881584167480469
"When was the movie ""The Devil's Advocate"" released?";"""The Devil's Advocate"" was released in 1997.";How many movies has Tony Scott directed?;"Tony Scott directed ""Topgun"".";"When was the movie ""The Devil's Advocate"" released and How many movies has Tony Scott directed?";True;False;0.9772114753723145
"How many votes did the movie ""Hoffa"" receive?";"""Hoffa"" received 40 votes.";What movies has Gene Hackman acted in?;"Gene Hackman acted in ""The Birdcage"", ""The Replacements"" and ""Unforgiven"".";"How many votes did the movie ""Hoffa"" receive and What movies has Gene Hackman acted in?";True;True;1.2149834632873535
"Did Hugo Weaving act in, direct, or produce ""The Matrix Reloaded""?";"Hugo Weaving acted in ""The Matrix Reloaded.""";When was the actor Brooke Langton born?;Brooke Langton was born in 1970.;"Did Hugo Weaving act in, direct, or produce ""The Matrix Reloaded"" and When was the actor Brooke Langton born?";True;True;0.9298009872436525
"What is the tagline of the movie ""The Devil's Advocate""?";"The tagline of ""The Devil's Advocate"" is ""Evil has its winning ways.""";What movies has Emile Hirsch acted in?;"Emile Hirsch acted in ""Speed Racer"".";"What is the tagline of the movie ""The Devil's Advocate"" and What movies has Emile Hirsch acted in?";True;False;0.9346835613250732
What year was the actor Hugo Weaving born?;Hugo Weaving was born in 1960.;When was the actor Paul Bettany born?;Paul Bettany was born in 1971.;What year was the actor Hugo Weaving born and When was the actor Paul Bettany born?;True;True;1.0163593292236328
Which movies has Joel Silver produced?;"Joel Silver produced ""The Matrix,"" ""The Matrix Reloaded,"" ""The Matrix Revolutions,"" and ""V for Vendetta.""";What year was the movie 'V for Vendetta' released?;"""V for Vendetta"" was released in 2006.";Which movies has Joel Silver produced and What year was the movie 'V for Vendetta' released?;True;True;1.133518934249878
