Question;Expected Database;Chatbot Decision;Duration
"Did Al Pacino act in ""V for Vendetta""?";MovieDatabase;MovieDatabase;3.8951783180236816
What movies has Taylor Hackford directed?;MovieDatabase;MovieDatabase;1.3259053230285645
"How many votes did the movie ""Speed Racer"" get?";MovieDatabase;MovieDatabase;1.05597186088562
"What is the tagline of the movie ""Ninja Assassin""?";MovieDatabase;MovieDatabase;3.985862970352173
"When was the movie ""The Green Mile"" released?";MovieDatabase;MovieDatabase;1.9538922309875488
In which movies has Tom Cruise acted?;MovieDatabase;MovieDatabase;3.538016557693481
"How many votes did the movie ""Frost/Nixon"" receive?";MovieDatabase;MovieDatabase;2.174063205718994
"What is the tagline of the movie ""Hoffa""?";MovieDatabase;MovieDatabase;1.637171506881714
"When was the movie ""Apollo 13"" released?";MovieDatabase;MovieDatabase;2.206518173217773
"Did Jack Nicholson act in ""Twister""?";MovieDatabase;MovieDatabase;1.179774284362793
What movies has Demi Moore directed?;MovieDatabase;MovieDatabase;1.7968523502349854
"How many votes did the movie ""Cast Away"" get?";MovieDatabase;MovieDatabase;1.2172191143035889
"What is the tagline of the movie ""One Flew Over the Cuckoo's Nest""?";MovieDatabase;MovieDatabase;1.5567412376403809
"When was the movie ""Something's Gotta Give"" released?";MovieDatabase;MovieDatabase;1.0136098861694336
In which movies has Renee Zellweger acted?;MovieDatabase;MovieDatabase;1.5693097114562988
"How many votes did the movie ""Bicentennial Man"" receive?";MovieDatabase;MovieDatabase;1.2647428512573242
"What is the tagline of the movie ""Charlie Wilson's War""?";MovieDatabase;MovieDatabase;1.3759796619415283
"When was the movie ""The Polar Express"" released?";MovieDatabase;MovieDatabase;1.2542033195495603
"Did Kiefer Sutherland act in ""A League of Their Own""?";MovieDatabase;MovieDatabase;2.3741872310638428
What movies has Noah Wyle directed?;MovieDatabase;MovieDatabase;1.298068284988403
"How many votes did the movie ""Stand By Me"" get?";MovieDatabase;MovieDatabase;1.578014612197876
"What is the tagline of the movie ""As Good as It Gets""?";MovieDatabase;MovieDatabase;1.516024112701416
"When was the movie ""What Dreams May Come"" released?";MovieDatabase;MovieDatabase;2.411904811859131
In which movies has Cuba Gooding Jr. acted?;MovieDatabase;MovieDatabase;1.0343453884124756
"How many votes did the movie ""Snow Falling on Cedars"" receive?";MovieDatabase;MovieDatabase;1.6679487228393557
"What is the tagline of the movie ""You've Got Mail""?";MovieDatabase;MovieDatabase;2.3480257987976074
Was the actor Lilly Wachowski born in 1960?;MovieDatabase;MovieDatabase;1.3180434703826904
What is the process of photosynthesis in plants?;None;None;1.692948579788208
How do black holes affect the galaxies they are in?;None;None;1.8936126232147217
What are the primary ingredients in a traditional Japanese ramen?;None;None;1.4690167903900146
What strategies can be used to reduce plastic waste in oceans?;None;None;1.0490305423736572
How does meditation impact mental health?;None;None;2.7197067737579346
What is the history behind the construction of the Eiffel Tower?;None;None;1.8949100971221924
How do bees communicate with each other in a hive?;None;None;1.3515806198120115
What are the challenges in achieving sustainable urban development?;None;None;1.5775797367095947
How do different cultures around the world celebrate the New Year?;None;None;1.0751311779022217
What are the latest advancements in renewable energy technology?;None;None;1.413428783416748
Can you get rail connections at Wheauls Street?;CLEVR;CLEVR;5.374566316604614
Does Chrietch Bridge have rail connections?;CLEVR;CLEVR;1.8159728050231931
How many stations are between Pruest Bridge and Jeask Palace?;CLEVR;CLEVR;1.344566822052002
Describe Kliags Bridge station's architectural style.;CLEVR;CLEVR;1.827087640762329
Can you get rail connections at Schwarryington?;CLEVR;CLEVR;1.8792695999145508
Does Bluiert Lane have rail connections?;CLEVR;CLEVR;2.2916083335876465
How clean is Ghiigh Way?;CLEVR;CLEVR;2.907646894454956
How clean is Tousch Lane?;CLEVR;CLEVR;2.0486257076263428
Describe Siish Boulevard station's architectural style.;CLEVR;CLEVR;1.7635409832000732
How many lines is Miaor Court on?;CLEVR;CLEVR;1.8322405815124512
Does Khords Court have rail connections?;CLEVR;CLEVR;1.952256679534912
How many lines is Fiallsneyland on?;CLEVR;CLEVR;2.0373194217681885
Describe Szuoch Bridge station's architectural style.;CLEVR;CLEVR;1.7044856548309326
What music plays at Dwuiews Bridge?;CLEVR;CLEVR;1.4660084247589111
Which stations does Red Hrouly pass through?;CLEVR;CLEVR;1.8485994338989256
Describe Skiesly Palace station's architectural style.;CLEVR;CLEVR;1.999788522720337
How many stations are between Rheirst Lane and Mcfial St?;CLEVR;CLEVR;1.545839548110962
Is there disabled access at Hyuolt Manor?;CLEVR;CLEVR;2.067145586013794
What is the cleanliness level of Twaizbridge station?;CLEVR;CLEVR;2.030863046646118
Are Montlyham and Schmiarfington on the same line?;CLEVR;CLEVR;2.366984605789185
Are Klaucs On Trent and Glauehl Way on the same line?;CLEVR;CLEVR;1.5869803428649902
Does Siish Boulevard have disabled access?;CLEVR;CLEVR;3.2830066680908203
Is there disabled access at Cliick On Trent?;CLEVR;CLEVR;1.6025846004486084
What size is Sift Boulevard?;CLEVR;CLEVR;2.127583265304565
Does Trauesp Palace have rail connections?;CLEVR;CLEVR;4.067046880722046
How clean is Rheirst Lane?;CLEVR;CLEVR;3.1118123531341557
What size is Kliags Bridge?;CLEVR;CLEVR;2.648730516433716
Can you get rail connections at Cuinnton?;CLEVR;CLEVR;2.437321186065674
Describe Jeod On Trent station's architectural style.;CLEVR;CLEVR;1.8379573822021484
Can you get rail connections at Debington?;CLEVR;CLEVR;2.1193079948425293
What architectural style is Kleompton?;CLEVR;CLEVR;1.1476991176605225
Is there disabled access at Xaath Way?;CLEVR;CLEVR;1.8679180145263672
Is there disabled access at Mcgeegsington?;CLEVR;CLEVR;1.7535357475280762
What music plays at Schruaks Grove?;CLEVR;None;1.358651876449585
Does Looks Square have disabled access?;CLEVR;CLEVR;2.56884241104126
How many stations are between Mcgeegsington and Dynieucks St?;CLEVR;CLEVR;4.932343244552612
Describe Slairt Estate station's architectural style.;CLEVR;CLEVR;2.411137580871582
How many sizes of station does Purple Psycharts pass through?;CLEVR;CLEVR;1.5990362167358398
What size is Glauehl Way?;CLEVR;CLEVR;2.739846706390381
How many sizes of station does Pink Dreark pass through?;CLEVR;CLEVR;2.6781527996063232
Which lines is Jeiabs Hospital on?;CLEVR;CLEVR;2.513846635818481
What is the cleanliness level of Diocs Estate station?;CLEVR;CLEVR;2.136554956436157
Are Chrietch Bridge and Spieuhl St on the same line?;CLEVR;CLEVR;1.7481582164764404
Which stations does Blue Twauect pass through?;CLEVR;CLEVR;1.6032915115356443
How many stations are between Klioc Palace and Krep Bridge?;CLEVR;CLEVR;1.294438123703003
What architectural style is Spieuhl St?;CLEVR;CLEVR;1.3967208862304688
How clean is Soillsham?;CLEVR;None;2.281277656555176
How big is Soillsham?;CLEVR;None;1.3160011768341064
How many stations are between Schruaks Grove and Schmeelly Court?;CLEVR;CLEVR;5.8100221157073975
How many lines is Schlaiosm Hospital on?;CLEVR;CLEVR;1.7127666473388672
What is the cleanliness level of Chraets Square station?;CLEVR;CLEVR;1.2048470973968506
How many architectural styles does Purple Xiour pass through?;CLEVR;CLEVR;2.2050576210021973
Are Pfaorts Court and Klaucs On Trent on the same line?;CLEVR;CLEVR;2.836019277572632
Does Xaath Way have rail connections?;CLEVR;CLEVR;1.873018741607666
Are Fruirtyneyland and Theunn Crossing on the same line?;CLEVR;CLEVR;1.3834702968597412
What is the cleanliness level of Sqearn Bridge station?;CLEVR;CLEVR;1.4146912097930908
How big is Wreastton?;CLEVR;None;1.1923048496246338
Is there disabled access at Whiaop Street?;CLEVR;CLEVR;4.099909543991089
How many music styles does Blue Twauect pass through?;CLEVR;CLEVR;1.5348050594329834
How many sizes of station does Green Criengs pass through?;CLEVR;CLEVR;1.5970375537872314
How many architectural styles does Cyan Hypory pass through?;CLEVR;CLEVR;1.6452429294586182
What size is Trauesp Palace?;CLEVR;None;2.870966672897339
Describe Jauedy Hospital station's architectural style.;CLEVR;CLEVR;2.5610339641571045
Are Typairn Estate and Kroakswich on the same line?;CLEVR;CLEVR;2.5514955520629883
How many stations are between Pfeirty International and Schlaiosm Hospital?;CLEVR;CLEVR;2.0044045448303223
How many architectural styles does Green Mcgoimp pass through?;CLEVR;CLEVR;2.6369009017944336
How many lines is Wrotz Upon Thames on?;CLEVR;CLEVR;3.1049633026123047
Which stations does Pink Dreark pass through?;CLEVR;CLEVR;2.514471530914306
Is there disabled access at Froam Lane?;CLEVR;CLEVR;1.7986171245574951
How clean is Wrotz Upon Thames?;CLEVR;None;1.8194496631622317
How clean is Gloiatsneyland?;CLEVR;None;3.005466222763061
How many lines is Cuinnton on?;CLEVR;CLEVR;1.3325107097625732
Can you get rail connections at Hypiap Grove?;CLEVR;CLEVR;2.1206390857696533
What is the cleanliness level of Mcciays Court station?;CLEVR;CLEVR;1.7031888961791992
Does Mccaork Estate have disabled access?;CLEVR;CLEVR;1.9965441226959229
What is the cleanliness level of Praiacy Crossing station?;CLEVR;CLEVR;1.996438980102539
At Thruolly Lane what sort of music plays?;CLEVR;CLEVR;3.053138494491577
How many music styles does Orange Dweots pass through?;CLEVR;None;2.5564465522766118
Is there disabled access at Physeiasts Road?;CLEVR;CLEVR;1.4224951267242432
How many stations are between Jeask Palace and Psycheact Hospital?;CLEVR;CLEVR;2.6136674880981445
What is the cleanliness level of Spriaords Palace station?;CLEVR;CLEVR;2.1554620265960693
Which lines is Hypiap Grove on?;CLEVR;CLEVR;1.70414400100708
How many architectural styles does Purple Xiour pass through?;CLEVR;CLEVR;2.7625317573547363
Is there disabled access at Draamp Lane?;CLEVR;CLEVR;2.5183093547821045
Can you get rail connections at Pfaantlywich?;CLEVR;CLEVR;1.8968088626861568
What is the cleanliness level of Schooz Upon Thames station?;CLEVR;CLEVR;2.164923906326294
Which lines is Jeod On Trent on?;CLEVR;CLEVR;1.7977964878082275
What size is Schwuosk Estate?;CLEVR;None;2.903487205505371
Is there disabled access at Knaapt Manor?;CLEVR;CLEVR;2.133071184158325
Does Trar Crossing have disabled access?;CLEVR;CLEVR;1.8843119144439695
Does Fruirtyneyland have disabled access?;CLEVR;CLEVR;3.208585500717163
What size is Snieub Estate?;CLEVR;CLEVR;2.3380253314971924
How many sizes of station does Cyan Troll pass through?;CLEVR;CLEVR;2.1020240783691406
What size is Hypask Square?;CLEVR;CLEVR;2.594496965408325
At Mcclass Court what sort of music plays?;CLEVR;None;1.559983730316162
Describe Spieuhl St station's architectural style.;CLEVR;CLEVR;2.4136054515838623
Does Mcfoepp Lane have disabled access?;CLEVR;CLEVR;1.3425955772399902
What is the cleanliness level of Psychiaongs Court station?;CLEVR;CLEVR;2.160148859024048
Are Symbeiash Hospital and Mcfial St on the same line?;CLEVR;CLEVR;2.871643304824829
Does Schwarryington have rail connections?;CLEVR;CLEVR;1.6467676162719729
What is the capital city of France?;None;None;2.14554214477539
What year did the first moon landing occur?;None;None;1.7779531478881836
Who wrote the play 'Romeo and Juliet'?;None;None;1.3420689105987549
What is the main ingredient in traditional Italian pasta?;None;None;1.9759588241577148
What is the chemical symbol for water?;None;None;1.922520875930786
Who was the first president of the United States?;None;None;1.6629536151885986
In which continent is the Sahara Desert located?;None;None;1.718043327331543
What is the largest mammal in the ocean?;None;None;3.791964292526245
What is the primary language spoken in Brazil?;None;None;1.7382268905639648
What is the boiling point of water at sea level?;None;None;1.5981464385986328
